operateur,annee,filiere,consor,code_commune,libelle_commune,code_departement,id_filiere,consototale
GRDF,"2020",Gaz,"2631.69869","09104",Dalou,"09","200","2694.4722"
GRDF,"2020",Gaz,"0.0","09106",Dreuilhe,"09","200","236.96396"
GRDF,"2020",Gaz,"2441.41011","09130",Ganac,"09","200","2513.76016"
GRDF,"2020",Gaz,"4895.87659","09167",Lézat-sur-Lèze,"09","200","9019.09119"
GRDF,"2020",Gaz,"7248.5423","09194",Mirepoix,"09","200","11454.07071"
GRDF,"2020",Gaz,"849.43386","09206",Montferrier,"09","200","1091.53901"
GRDF,"2020",Gaz,"1736.10389","09245",Rieux-de-Pelleport,"09","200","1821.12192"
GRDF,"2020",Gaz,"8839.10264","09265",Saint-Jean-du-Falga,"09","200","11214.92248"
GRDF,"2020",Gaz,"4771.12816","09268",Saint-Lizier,"09","200","17075.41858"
GRDF,"2020",Gaz,"835.59016","09275",Saint-Quirc,"09","200","835.59016"
GRDF,"2020",Gaz,"12068.71808","09282",Saverdun,"09","200","16501.27736"
GRDF,"2020",Gaz,"2281.69757","09329",Vernajoul,"09","200","2390.75571"
Régie d'électricité de Saint-Quirc,"2019",Electricité,"857.0","09076",Canté,"09","100","1043.0"
Régie d'électricité de Saint-Quirc,"2019",Electricité,"554.0","09147",Labatut,"09","100","668.0"
Régie municipale d'électricité de Mercus,"2019",Electricité,"2489.0","09188",Mercus-Garrabet,"09","100","3198.0"
Régie municipale d'électricité de Quie,"2019",Electricité,"1013.0","09240",Quié,"09","100","1108.0"
Régie municipale d'électricité de Saverdun,"2019",Electricité,"10977.0","09282",Saverdun,"09","100","30970.0"
Régie municipale d'électricité de Tarascon sur Ariège,"2019",Electricité,"8160.0","09306",Tarascon-sur-Ariège,"09","100","16006.0"
Régie municipale d'électricité de Vicdessos,"2019",Electricité,"3287.42","09334",Val-de-Sos,"09","100","4255.21"
Régie d'électricité de Saint-Quirc,"2014",Electricité,"369.63","09147",Labatut,"09","100","413.65"
Régie municipale d'électricité d'Arignac,"2014",Electricité,"1872.0","09015",Arignac,"09","100","2440.0"
Régie municipale d'électricité de Mercus,"2014",Electricité,"2207.0","09188",Mercus-Garrabet,"09","100","2971.0"
Régie municipale d'électricité de Quie,"2014",Electricité,"990.0","09240",Quié,"09","100","1058.0"
RTE,"2014",Electricité,"0.0","09139",L'Hospitalet-près-l'Andorre,"09","100","1600.23"
RTE,"2014",Electricité,"0.0","09225",Pamiers,"09","100","53742.21"
GRDF,"2014",Gaz,"1037.0","09050",Benagues,"09","200","2150.0"
GRDF,"2014",Gaz,"199.0","09066",Brassac,"09","200","199.0"
GRDF,"2014",Gaz,"2809.0","09104",Dalou,"09","200","2809.0"
GRDF,"2014",Gaz,"1932.0","09119",Eycheil,"09","200","1932.0"
GRDF,"2014",Gaz,"53001.0","09122",Foix,"09","200","65874.0"
GRDF,"2014",Gaz,"586.0","09174",Loubières,"09","200","586.0"
GRDF,"2014",Gaz,"9765.0","09185",Mazères,"09","200","12093.0"
GRDF,"2014",Gaz,"3602.0","09235",Prat-Bonrepaux,"09","200","4040.0"
GRDF,"2014",Gaz,"39844.0","09261",Saint-Girons,"09","200","45425.0"
GRDF,"2014",Gaz,"6583.0","09268",Saint-Lizier,"09","200","17858.0"
GRDF,"2014",Gaz,"4887.0","09272",Saint-Paul-de-Jarrat,"09","200","4887.0"
GRDF,"2014",Gaz,"2208.0","09273",Saint-Pierre-de-Rivière,"09","200","2208.0"
GRDF,"2014",Gaz,"798.0","09275",Saint-Quirc,"09","200","798.0"
GRDF,"2014",Gaz,"5849.0","09289",Lorp-Sentaraille,"09","200","8112.0"
GRDF,"2014",Gaz,"9066.0","09332",Verniolle,"09","200","10692.0"
Enedis,"2018",Electricité,"143.820574900329","09001",Aigues-Juntes,"09","100","143.820574900329"
Enedis,"2018",Electricité,"512.423324918745","09004",Albiès,"09","100","616.6064988258197"
Enedis,"2018",Electricité,"407.551004532064","09017",Arrien-en-Bethmale,"09","100","496.1440706249478"
Enedis,"2018",Electricité,"237.983106343105","09018",Arrout,"09","100","306.3714927645969"
Enedis,"2018",Electricité,"1810.88694809056","09019",Artigat,"09","100","2354.1096573256364"
Enedis,"2018",Electricité,"107.851492424659","09031",Axiat,"09","100","107.851492424659"
Enedis,"2018",Electricité,"108.91203158552","09033",Bagert,"09","100","108.91203158552"
Enedis,"2018",Electricité,"38.9435659278432","09034",Balacet,"09","100","38.9435659278432"
Enedis,"2018",Electricité,"691.676151945536","09035",Balaguères,"09","100","770.6132148023027"
Enedis,"2018",Electricité,"118.59552656314","09037",Barjac,"09","100","118.59552656314"
Enedis,"2018",Electricité,"891.558951789961","09040",La Bastide-de-Lordat,"09","100","1715.28978549324"
Enedis,"2018",Electricité,"560.850102990134","09041",La Bastide-du-Salat,"09","100","627.1366963841131"
Enedis,"2018",Electricité,"252.214150380452","09046",Bédeille,"09","100","270.3248153162112"
Enedis,"2018",Electricité,"189.372447185015","09048",Belloc,"09","100","282.6888094798194"
Enedis,"2018",Electricité,"553.084061099174","09052",Besset,"09","100","596.8727020096605"
Enedis,"2018",Electricité,"69.8717491229055","09053",Bestiac,"09","100","120.18603848727611"
Enedis,"2018",Electricité,"295.397536939029","09055",Bethmale,"09","100","768.4094307335299"
Enedis,"2018",Electricité,"860.790707114209","09057",Biert,"09","100","974.439442030056"
Enedis,"2018",Electricité,"428.379509562047","09059",Bonac-Irazein,"09","100","471.11397670246754"
Enedis,"2018",Electricité,"2025.05881995441","09066",Brassac,"09","100","2195.529962199148"
Enedis,"2018",Electricité,"113.67210365818","09068",Burret,"09","100","113.67210365818"
Enedis,"2018",Electricité,"1489.70229356667","09070",Les Cabannes,"09","100","2894.1688225947787"
Enedis,"2018",Electricité,"82.9419144888732","09072",Calzan,"09","100","82.9419144888732"
Enedis,"2018",Electricité,"546.645864433511","09074",Camon,"09","100","904.7804446617496"
Enedis,"2018",Electricité,"240.389461983831","09084",Castex,"09","100","240.389461983831"
Enedis,"2018",Electricité,"792.296807109828","09086",Caumont,"09","100","2415.161979521388"
Enedis,"2018",Electricité,"274.368059283068","09087",Caussou,"09","100","274.368059283068"
Enedis,"2018",Electricité,"49.3839930408136","09088",Caychax,"09","100","49.3839930408136"
Enedis,"2018",Electricité,"95.8062964812245","09090",Cazaux,"09","100","95.8062964812245"
